,Rank,POS,AVG,Sleeper,Player,Team,Bye,player_id,predicted_fantasy_points,position_group,replacement_value,vor,rank
150,171,QB22,178.0,,Derek Carr,NO,9,00-0031280,244.64480139501393,QB,222.3416029421985,22.303198452815423,224.0
260,299,TE33,313.3,,Jesse James,NO,9,00-0032135,38.882333334674435,TE,16.59899981290102,22.283333521773415,225.0
116,133,RB46,135.0,,Jaylen Samuels,,,00-0034331,110.3376003523171,RB,88.13559999167919,22.20200036063791,226.0
217,248,TE27,255.0,,Benjamin Watson,,,00-0022943,38.449000002145766,TE,16.59899981290102,21.850000189244746,227.0
83,95,RB35,99.2,,Jordan Howard,,,00-0032780,109.46833332220713,RB,88.13559999167919,21.332733330527944,228.0
167,191,RB58,226.3,,Ty Montgomery,NE,10,00-0032200,37.56950003221631,WR,16.998800196647643,20.570699835568668,229.0
379,533,TE76,403.0,,Marcedes Lewis,,,00-0024243,35.87500018976629,TE,16.59899981290102,19.27600037686527,230.0
310,388,TE52,363.5,,Nick Vannett,,,00-0032394,35.52240006375313,TE,16.59899981290102,18.92340025085211,231.0
405,584,TE87,438.0,,Nick O'Leary,,,00-0032117,35.368249969025456,TE,16.59899981290102,18.769250156124436,232.0
108,123,QB17,126.5,,Philip Rivers,,,00-0022942,241.06179964780807,QB,222.3416029421985,18.720196705609567,233.0
422,633,TE96,499.0,,Jeff Heuerman,,,00-0032227,35.181999983787534,TE,16.59899981290102,18.583000170886514,234.0
251,290,TE32,465.5,,Matt LaCosse,,,00-0031744,34.45650024533272,TE,16.59899981290102,17.8575004324317,235.0
99,113,RB42,117.2,,Kareem Hunt,,,00-0033923,105.87720067143441,RB,88.13559999167919,17.741600679755223,236.0
151,172,DST12,179.7,,Philadelphia Eagles,DST,10,00-000015,110.98000015377998,DST,94.49366665760677,16.486333496173216,237.0
377,530,TE75,401.0,,Derek Carrier,,,00-0029119,32.98299995258451,TE,16.59899981290102,16.384000139683486,238.0
419,627,TE95,492.0,,Dan Arnold,PHI,10,00-0034011,32.89500027298927,TE,16.59899981290102,16.29600046008825,239.0
483,766,WR246,643.0,,Dontrelle Inman,,,00-0028411,31.928000138252973,WR,16.998800196647643,14.92919994160533,240.0
528,946,TE180,840.0,,Ross Dwelley,SF,4,00-0034073,31.440199967399238,TE,16.59899981290102,14.841200154498218,241.0
350,469,WR156,406.5,,Laquon Treadwell,BAL,8,00-0032951,31.772000115811824,WR,16.998800196647643,14.773199919164181,242.0
227,258,RB69,408.4,,Rex Burkhead,,,00-0030288,101.81500056497752,RB,88.13559999167919,13.679400573298338,243.0
298,359,TE43,554.7,,Vernon Davis,,,00-0024221,30.01699974872172,TE,16.59899981290102,13.4179999358207,244.0
149,169,DST11,176.7,,Dallas Cowboys,DST,8,00-000020,106.00599992968142,DST,94.49366665760677,11.512333272074656,245.0
467,727,WR225,603.0,,Richie James,KC,12,00-0034286,28.31299957114458,WR,16.998800196647643,11.314199374496937,246.0
384,543,TE78,411.0,,Robert Tonyan,CHI,6,00-0033757,27.811399723291398,TE,16.59899981290102,11.212399910390378,247.0
378,531,WR177,447.5,,DeAndre Carter,LV,,00-0031763,27.889199984818696,WR,16.998800196647643,10.890399788171052,248.0
472,739,TE122,615.0,,Seth DeValve,,,00-0033080,27.401000288128852,TE,16.59899981290102,10.802000475227832,249.0
341,459,TE64,351.0,,Virgil Green,,,00-0028142,27.176799588650464,TE,16.59899981290102,10.577799775749444,250.0
197,225,RB63,319.4,,Chris Thompson,,,00-0030404,98.55100091800094,RB,88.13559999167919,10.415400926321752,251.0
101,115,DST3,118.5,,Jacksonville Jaguars,DST,10,00-000017,104.55999998371303,DST,94.49366665760677,10.06633332610626,252.0
272,317,K31,349.3,,Greg Joseph,MIN,12,00-0034450,9.36500001847744,K,0.0,9.36500001847744,253.0
211,241,DST24,233.5,,Atlanta Falcons,DST,9,00-000021,101.06409996801615,DST,94.49366665760677,6.570433310409385,254.0
457,701,TE115,573.0,,Mo Alie-Cox,IND,6,00-0033217,22.096999710068108,TE,16.59899981290102,5.497999897167087,255.0
239,273,RB73,433.0,,Gus Edwards,BAL,8,00-0034184,93.51940059944988,RB,88.13559999167919,5.383800607770695,256.0
354,474,TE67,361.0,,Adam Shaheen,,,00-0033896,21.453300129587454,TE,16.59899981290102,4.854300316686434,257.0
187,212,RB62,220.0,,Frank Gore,,,00-0023500,92.98699840977788,RB,88.13559999167919,4.851398418098697,258.0
517,893,TE163,784.0,,MyCole Pruitt,,,00-0031585,21.424999994039535,TE,16.59899981290102,4.8260001811385145,259.0
134,153,DST7,155.7,,Denver Broncos,DST,10,00-000019,99.08542855959705,DST,94.49366665760677,4.591761901990282,260.0
254,293,WR99,481.0,,Robert Foster,,,00-0034510,21.44600003644824,WR,16.998800196647643,4.4471998398005965,261.0
221,252,WR82,398.8,,Rashard Higgins,,,00-0032977,21.409999772012235,WR,16.998800196647643,4.411199575364591,262.0
262,301,WR100,316.3,,Chris Hogan,,,00-0028237,21.070000022649765,WR,16.998800196647643,4.071199826002122,263.0
299,361,TE44,605.5,,Geoff Swaim,,,00-0032141,20.3479996496439,TE,16.59899981290102,3.748999836742879,264.0
486,773,WR248,651.0,,Trent Sherfield,BUF,6,00-0034487,20.724999992847444,WR,16.998800196647643,3.7261997961998006,265.0
437,666,TE106,534.0,,Joshua Perkins,,,00-0032599,20.273749827444554,TE,16.59899981290102,3.674750014543534,266.0
538,1034,TE187,935.0,,Tyler Kroft,MIA,5,00-0032214,19.74199963569641,TE,16.59899981290102,3.142999822795389,267.0
477,748,TE124,624.0,,Lee Smith,,,00-0028097,18.910000131130218,TE,16.59899981290102,2.3110003182291976,268.0
235,269,K22,429.0,,Giorgio Tavecchio,,,00-0028907,2.1831999960541726,K,0.0,2.1831999960541726,269.0
443,675,TE108,544.0,,Luke Stocker,,,00-0028042,18.67499974541366,TE,16.59899981290102,2.075999932512641,270.0
201,229,DST22,249.4,,Carolina Panthers,DST,7,00-000022,96.44221432764616,DST,94.49366665760677,1.948547670039389,271.0
421,632,WR201,498.0,,Brandon Zylstra,,,00-0034052,18.32000031620264,WR,16.998800196647643,1.321200119554998,272.0
54,58,QB4,59.7,,Baker Mayfield,TB,7,00-0034855,223.35019883699715,QB,222.3416029421985,1.0085958947986455,273.0
20,21,WR8,21.0,,Antonio Brown,,,00-0027793,16.998800196647643,WR,16.998800196647643,0.0,274.0
27,28,RB13,29.3,,Kerryon Johnson,,,00-0034349,88.13559999167919,RB,88.13559999167919,0.0,274.0
77,89,TE9,92.3,,David Njoku,CLE,7,00-0033885,16.59899981290102,TE,16.59899981290102,0.0,274.0
70,79,DST1,83.7,,Chicago Bears,DST,6,00-000018,94.49366665760677,DST,94.49366665760677,0.0,274.0
68,76,QB6,78.5,,Drew Brees,,,00-0020531,222.3416029421985,QB,222.3416029421985,0.0,274.0
141,161,DST10,163.5,,Houston Texans,DST,10,00-000024,94.42560008078813,DST,94.49366665760677,-0.06806657681863726,279.0
224,255,DST25,409.8,,Washington Commanders,DST,10,00-000023,94.42140005432069,DST,94.49366665760677,-0.07226660328608148,280.0
305,375,TE48,267.0,,Blake Bell,KC,12,00-0032062,16.437000077962875,TE,16.59899981290102,-0.16199973493814568,281.0
501,838,TE147,724.0,,Durham Smythe,MIA,5,00-0034798,16.345999984443186,TE,16.59899981290102,-0.25299982845783475,282.0
476,746,WR234,622.0,,Marcell Ateman,BUF,6,00-0034747,16.454999964535237,WR,16.998800196647643,-0.5438002321124067,283.0
